"Date","Price","Open","High","Low","Vol.","Change %"
"04/11/2022","100.64","101.20","101.30","100.42","67.15K","-1.33%"
"04/08/2022","102.00","102.26","102.48","101.62","69.57K","1.07%"
"04/07/2022","100.92","101.28","101.84","100.76","69.88K","-0.18%"
"04/06/2022","101.10","102.70","102.80","100.88","135.42K","-1.81%"
"04/05/2022","102.96","103.24","103.42","102.64","122.65K","0.16%"
"04/04/2022","102.80","102.00","103.30","101.66","203.16K","1.32%"
"04/01/2022","101.46","101.46","102.00","101.42","119.13K","-0.28%"
"03/31/2022","101.74","101.78","102.52","101.66","42.07K","-0.16%"
"03/30/2022","101.90","102.40","102.42","101.74","73.09K","-0.37%"
"03/29/2022","102.28","102.28","102.68","101.82","76.88K","0.75%"
"03/28/2022","101.52","101.74","102.18","101.52","62.82K","0.24%"
"03/25/2022","101.28","101.16","101.64","100.78","42.37K","0.40%"
"03/24/2022","100.88","101.02","101.20","100.66","37.25K","0.00%"
"03/23/2022","100.88","101.38","101.38","100.78","84.78K","-0.30%"
"03/22/2022","101.18","100.62","101.30","100.36","82.78K","1.34%"
"03/21/2022","99.84","99.66","100.48","99.58","93.99K","0.28%"
"03/18/2022","99.56","98.55","99.90","98.29","43.88K","1.62%"
"03/17/2022","97.97","98.26","98.32","97.41","137.32K","0.27%"
"03/16/2022","97.71","96.98","97.90","96.80","71.83K","2.29%"
"03/15/2022","95.52","93.61","95.52","93.02","145.12K","0.91%"
"03/14/2022","94.66","95.70","95.91","94.64","79.15K","-1.27%"
"03/11/2022","95.88","95.93","97.50","95.60","55.75K","1.00%"
"03/10/2022","94.93","96.05","96.09","94.47","94.25K","-0.92%"
"03/09/2022","95.81","95.18","96.00","95.01","132.47K","1.42%"
"03/08/2022","94.47","94.95","95.70","94.25","120.31K","-1.95%"
"03/07/2022","96.35","96.57","97.37","95.68","121.71K","-0.56%"
"03/04/2022","96.89","98.00","98.23","96.79","80.77K","-1.04%"
"03/03/2022","97.91","98.47","99.07","97.70","39.96K","-0.30%"
"03/02/2022","98.20","97.05","98.52","96.80","47.70K","0.95%"
"03/01/2022","97.28","98.55","98.55","97.08","156.55K","-0.62%"
"02/28/2022","97.89","97.00","97.89","96.51","92.88K","0.40%"
"02/25/2022","97.50","95.82","97.50","95.48","81.68K","3.03%"
"02/24/2022","94.63","93.56","95.03","92.63","169.74K","-1.52%"
"02/23/2022","96.09","96.86","97.28","95.90","52.09K","-0.46%"
"02/22/2022","96.53","95.77","97.41","95.56","81.94K","0.04%"
"02/21/2022","96.49","97.68","97.98","96.32","89.21K","-1.07%"
"02/18/2022","97.53","98.24","98.44","97.31","60.58K","-1.12%"
"02/17/2022","98.63","99.44","99.52","98.36","32.80K","-0.42%"
"02/16/2022","99.05","99.29","99.79","98.84","49.28K","-0.33%"
"02/15/2022","99.38","98.34","99.52","98.30","81.86K","0.88%"
"02/14/2022","98.51","98.29","98.67","97.40","89.13K","-0.99%"
"02/11/2022","99.50","99.50","100.20","99.10","49.73K","-0.60%"
"02/10/2022","100.10","100.84","100.90","99.82","46.97K","-0.50%"
"02/09/2022","100.60","99.87","100.76","99.76","84.33K","1.43%"
"02/08/2022","99.18","98.94","99.22","98.44","44.85K","0.47%"
"02/07/2022","98.72","98.83","99.16","98.18","103.04K","0.52%"
"02/04/2022","98.21","99.22","99.31","97.59","70.36K","-1.00%"
"02/03/2022","99.20","100.74","102.00","99.05","61.31K","-1.67%"
"02/02/2022","100.88","101.40","101.80","100.86","111.45K","0.14%"
"02/01/2022","100.74","100.38","100.84","99.95","125.92K","0.80%"
"01/31/2022","99.94","99.42","100.02","98.97","59.37K","1.76%"
"01/28/2022","98.21","98.33","98.37","96.60","97.05K","-1.12%"
"01/27/2022","99.32","97.00","99.66","96.94","105.29K","0.67%"
"01/26/2022","98.66","97.85","99.27","97.85","96.51K","1.84%"
"01/25/2022","96.88","97.25","98.02","96.30","110.99K","1.00%"
"01/24/2022","95.92","98.96","99.21","95.77","285.35K","-3.91%"
"01/21/2022","99.82","100.06","100.22","98.69","145.72K","-2.27%"
"01/20/2022","102.14","101.12","102.20","100.82","81.98K","0.95%"
"01/19/2022","101.18","100.84","102.02","100.68","67.53K","-0.35%"
"01/18/2022","101.54","101.90","101.98","101.18","59.31K","-1.03%"
"01/17/2022","102.60","102.20","102.74","102.10","85.34K","0.71%"
"01/14/2022","101.88","101.98","102.30","101.36","86.37K","-1.20%"
"01/13/2022","103.12","103.00","103.48","102.86","58.59K","-0.35%"
"01/12/2022","103.48","103.78","103.96","103.16","51.17K","0.47%"
"01/11/2022","103.00","102.82","103.28","102.28","72.45K","1.36%"
"01/10/2022","101.62","103.20","103.22","101.10","83.08K","-1.13%"
"01/07/2022","102.78","103.30","103.92","102.40","80.72K","-0.60%"
"01/06/2022","103.40","103.44","103.70","102.70","92.91K","-1.41%"
"01/05/2022","104.88","105.12","105.22","104.72","107.75K","-0.38%"
"01/04/2022","105.28","105.52","105.84","104.92","64.56K","0.46%"
"01/03/2022","104.80","104.96","105.04","104.30","153.62K","0.08%"
"12/30/2021","104.72","104.70","104.96","104.60","28.00K","0.38%"
"12/29/2021","104.32","104.96","105.20","104.04","29.67K","-0.59%"
"12/28/2021","104.94","104.80","105.30","104.70","79.98K","0.52%"
"12/27/2021","104.40","103.50","104.50","103.48","53.51K","0.56%"
"12/23/2021","103.82","103.10","103.84","103.00","39.39K","1.07%"
"12/22/2021","102.72","102.32","102.72","101.94","42.65K","0.84%"
"12/21/2021","101.86","101.40","101.86","101.10","80.96K","1.80%"
"12/20/2021","100.06","100.90","100.98","100.02","108.90K","-2.25%"
"12/17/2021","102.36","102.38","102.76","101.32","61.31K","-0.74%"
"12/16/2021","103.12","103.60","104.14","102.96","44.44K","1.38%"
"12/15/2021","101.72","102.26","102.34","101.72","59.34K","-0.04%"
"12/14/2021","101.76","103.06","103.12","101.70","117.35K","-0.88%"
"12/13/2021","102.66","103.64","104.04","102.50","76.36K","-0.25%"
"12/10/2021","102.92","103.00","103.74","102.80","54.60K","-0.50%"
"12/09/2021","103.44","103.48","103.52","103.06","54.18K","0.25%"
"12/08/2021","103.18","103.72","104.14","102.96","54.40K","-0.73%"
"12/07/2021","103.94","102.40","103.98","102.30","84.51K","2.59%"
"12/06/2021","101.32","100.92","101.48","100.06","111.75K","1.14%"
"12/03/2021","100.18","101.36","101.60","99.85","65.98K","-0.46%"
"12/02/2021","100.64","100.30","101.00","99.61","111.70K","-1.53%"
"12/01/2021","102.20","101.40","102.32","101.26","119.38K","1.25%"
"11/30/2021","100.94","101.00","101.56","100.24","117.12K","-1.27%"
"11/29/2021","102.24","102.38","102.70","101.90","133.29K","1.23%"
"11/26/2021","101.00","103.00","103.00","100.88","154.20K","-3.61%"
"11/25/2021","104.78","104.86","104.88","104.56","46.59K","0.29%"
"11/24/2021","104.48","104.20","104.58","103.72","50.53K","0.87%"
"11/23/2021","103.58","104.08","104.52","103.36","97.95K","-1.30%"
"11/22/2021","104.94","104.94","105.38","104.60","79.85K","0.44%"
"11/19/2021","104.48","104.64","104.88","104.24","76.16K","0.38%"
"11/18/2021","104.08","104.52","105.00","103.64","72.59K","-0.54%"
"11/17/2021","104.64","104.88","104.96","104.48","56.65K","-0.13%"
"11/16/2021","104.78","104.26","104.78","104.10","57.38K","0.91%"
"11/15/2021","103.84","103.56","103.94","103.48","120.24K","0.41%"
"11/12/2021","103.42","102.94","103.44","102.82","41.28K","0.60%"
"11/11/2021","102.80","102.52","102.88","102.36","44.41K","0.25%"
"11/10/2021","102.54","102.34","102.66","101.92","36.84K","0.45%"
